ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
5649,8625,4,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,3,5.42,2,Good,605.03,39.18265566,322,No,18.81621457,39.68401842,Low_spent_Medium_value_payments,465.6762241,Good
5650,8625,5,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,1,6.42,2,Good,605.03,34.97789475,323,No,18.81621457,39.68401842,Low_spent_Small_value_payments,444.8670319,Good
5651,8625,6,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,0,5.42,2,Good,605.03,33.3810102,324,No,18.81621457,39.68401842,High_spent_Large_value_payments,481.5052619,Good
5652,8625,7,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,31.13170161,325,NM,18.81621457,39.68401842,High_spent_Medium_value_payments,464.8806779,Good
5653,8625,8,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,32.93385629,326,No,18.81621457,39.68401842,Low_spent_Small_value_payments,356.0781086,Good
5658,11708,1,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,7.1,3,Good,1303.01,28.61673482,213,No,246.9923195,168.4137027,High_spent_Small_value_payments,1043.315978,Good
5659,11708,2,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",13,6,7.1,3,Good,1303.01,41.70257342,214,No,246.9923195,168.4137027,High_spent_Small_value_payments,998.8692968,Good
5660,11708,3,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,7,11.1,3,Good,1303.01,26.51981539,215,No,246.9923195,168.4137027,High_spent_Small_value_payments,715.7413674,Good
5661,11708,4,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,5,9.1,3,Good,1303.01,39.50164811,216,No,246.9923195,168.4137027,Low_spent_Medium_value_payments,426.5134106,Good
5662,11708,5,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",10,5,7.1,3,Good,1303.01,31.37614957,217,No,246.9923195,168.4137027,Low_spent_Large_value_payments,810.7821527,Good
5663,11708,6,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3,Good,1303.01,39.78399346,218,No,246.9923195,168.4137027,High_spent_Medium_value_payments,963.9215811,Good
5664,11708,7,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3,Good,1303.01,38.06862363,219,No,246.9923195,168.4137027,High_spent_Small_value_payments,968.5555174,Standard
5665,11708,8,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3,Good,1303.01,38.37475295,220,No,246.9923195,168.4137027,High_spent_Small_value_payments,895.4945832,Standard
5670,47249,1,Jasond,54,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,0,6,1.99,4,Good,632.46,26.54422872,207,No,16.41545166,29.39331143,Low_spent_Large_value_payments,433.604773,Standard
5671,47249,2,Jasond,54,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,3,1.99,4,Good,632.46,35.27998178,208,No,16.41545166,29.39331143,Low_spent_Small_value_payments,409.9518118,Standard
5672,47249,3,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,3,9,1.99,4,Good,632.46,32.30116343,209,NM,16.41545166,29.39331143,High_spent_Medium_value_payments,411.4271229,Standard
5673,47249,4,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,7,6,1.99,4,Good,632.46,38.13234819,210,No,16.41545166,29.39331143,Low_spent_Small_value_payments,262.4995943,Standard
5674,47249,5,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,41.15431655,211,No,16.41545166,29.39331143,Low_spent_Large_value_payments,359.3749155,Standard
5675,47249,6,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,27.44542179,212,No,16.41545166,29.39331143,High_spent_Small_value_payments,419.8807835,Standard
5676,47249,7,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,26.05639528,213,No,16.41545166,29.39331143,Low_spent_Large_value_payments,443.5499568,Standard
5677,47249,8,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,4,9,1.99,4,Good,632.46,27.33251493,214,No,16.41545166,29.39331143,High_spent_Small_value_payments,379.2163811,Standard
5682,7387,1,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,5,15,2.58,4,Standard,943.86,39.79776423,368,Yes,0,37.64363789,High_spent_Medium_value_payments,288.6055223,Standard
5683,7387,2,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,9,15,2.58,4,Standard,943.86,27.02036025,369,NM,0,37.64363789,High_spent_Medium_value_payments,460.8872756,Standard
5684,7387,3,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,5,12,2.58,4,Standard,943.86,23.46230304,370,Yes,0,37.64363789,Low_spent_Medium_value_payments,392.1922657,Standard
5685,7387,4,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,1,15,2.58,4,Standard,943.86,28.92495378,371,Yes,0,37.64363789,High_spent_Medium_value_payments,438.5454316,Standard
5686,7387,5,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,9,17,2.58,4,Standard,943.86,41.77618715,372,Yes,0,37.64363789,High_spent_Small_value_payments,482.6076383,Standard
5687,7387,6,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,5,15,2.58,4,Standard,943.86,29.21755633,373,Yes,0,37.64363789,High_spent_Medium_value_payments,497.6872788,Standard
5688,7387,7,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,10,15,2.58,4,Standard,943.86,26.26382269,374,Yes,0,37.64363789,Low_spent_Small_value_payments,394.3189339,Standard
5689,7387,8,Deepaa,21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,1,15,2.58,4,Standard,943.86,25.86292247,375,Yes,0,37.64363789,High_spent_Small_value_payments,364.0000157,Standard
5694,38382,1,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,12,10,10.14,2,Good,548.2,39.96268501,384,No,0,42.63559025,High_spent_Large_value_payments,740.1960901,Good
5695,38382,2,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,8,7,10.14,2,Good,548.2,42.7698644,384,NM,0,42.63559025,Low_spent_Medium_value_payments,705.9312855,Good
5696,38382,3,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,8,7,10.14,2,Good,548.2,40.71218653,385,No,0,42.63559025,High_spent_Medium_value_payments,698.8107657,Good
5697,38382,4,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,8,7,10.14,2,Good,548.2,30.20165771,386,No,0,42.63559025,Low_spent_Small_value_payments,270.6681087,Good
5698,38382,5,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,11,7,10.14,2,Good,548.2,26.33331043,387,No,0,42.63559025,Low_spent_Large_value_payments,690.9186643,Good
5699,38382,6,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,7,10.14,2,Good,548.2,35.27543652,388,No,0,42.63559025,Low_spent_Large_value_payments,633.080175,Good
5700,38382,7,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,8,4,9.14,2,Good,548.2,36.62479126,389,No,0,42.63559025,High_spent_Small_value_payments,510.3611005,Standard
5701,38382,8,Np,31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,8,7,10.14,2,Good,548.2,31.58098967,390,No,0,42.63559025,High_spent_Large_value_payments,796.2349097,Good
5706,10314,1,Nadiaq,33,411510676,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,2,Good,352.16,32.200509,367,NM,137.6446054,86.56638801,High_spent_Medium_value_payments,858.4624744,Good
5707,10314,2,Nadiaq,34,411510676,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,15.34,4,Good,352.16,31.98371001,368,No,137.6446054,86.56638801,High_spent_Small_value_payments,547.7604572,Good
5708,10314,3,Nadiaq,34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,4,Good,352.16,31.8031345,369,NM,911.2201793,86.56638801,High_spent_Large_value_payments,1038.569407,Good
5709,10314,4,Nadiaq,34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,8.34,4,Good,352.16,42.6457849,370,No,911.2201793,86.56638801,High_spent_Medium_value_payments,899.1987716,Good
5710,10314,5,Nadiaq,34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,4,9.34,4,Good,352.16,40.90251715,371,No,911.2201793,86.56638801,High_spent_Large_value_payments,963.254819,Good
5711,10314,6,Nadiaq,34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,11.34,4,Good,352.16,41.98016961,372,No,911.2201793,86.56638801,High_spent_Large_value_payments,1140.06734,Standard
5712,10314,7,Nadiaq,34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4,Good,352.16,26.94756515,373,No,911.2201793,86.56638801,High_spent_Medium_value_payments,326.2418302,Good
5713,10314,8,Nadiaq,34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4,Good,352.16,29.18791265,374,No,911.2201793,86.56638801,Low_spent_Medium_value_payments,396.1113462,Good
5718,21511,1,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,24.44806275,176,NM,70.47833267,29.32636371,Low_spent_Large_value_payments,298.1921581,Poor
5719,21511,2,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,5,Standard,1704.18,35.17116002,176,Yes,70.47833267,29.32636371,High_spent_Large_value_payments,392.1961846,Poor
5720,21511,3,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",31,14,17.13,5,Standard,1704.18,35.11155247,177,Yes,70.47833267,29.32636371,Low_spent_Large_value_payments,260.9124018,Poor
5721,21511,4,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14,21.13,5,Standard,1704.18,29.76215931,178,Yes,70.47833267,29.32636371,Low_spent_Small_value_payments,260.0809754,Poor
5722,21511,5,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",27,14,17.13,5,Standard,1704.18,30.20621422,179,Yes,70.47833267,29.32636371,High_spent_Large_value_payments,397.2283547,Standard
5723,21511,6,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,18.13,5,Standard,1704.18,31.17087232,180,Yes,70.47833267,29.32636371,High_spent_Medium_value_payments,410.6743661,Standard
5724,21511,7,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,38.43850508,181,NM,70.47833267,29.32636371,High_spent_Small_value_payments,395.1733867,Standard
5725,21511,8,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9,Standard,1704.18,33.82348834,182,Yes,70.47833267,29.32636371,High_spent_Medium_value_payments,411.3068036,Poor
5730,16727,1,Charlie Zhur,23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,11,8.24,3,Good,1377.74,33.66455429,256,No,226.8927919,212.2356022,High_spent_Small_value_payments,802.3004421,Good
5731,16727,2,Charlie Zhur,23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,8,8.24,3,Good,1377.74,27.62632549,257,NM,226.8927919,212.2356022,High_spent_Large_value_payments,785.2583559,Good
5732,16727,3,Charlie Zhur,23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,3,Good,1377.74,35.1415673,258,NM,226.8927919,212.2356022,High_spent_Small_value_payments,547.1081624,Good
5733,16727,4,Charlie Zhur,23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,14,8.24,8,Good,1377.74,30.45903184,259,No,226.8927919,212.2356022,High_spent_Small_value_payments,772.4119086,Good
5734,16727,5,Charlie Zhur,23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,11.24,8,Good,1377.74,29.81918663,260,No,226.8927919,212.2356022,High_spent_Small_value_payments,367.6845939,Standard
5735,16727,6,Charlie Zhur,24,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,14,8.24,8,Good,1377.74,26.11421387,261,NM,226.8927919,212.2356022,High_spent_Small_value_payments,491.1133876,Good
5736,16727,7,Charlie Zhur,24,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8,Good,1377.74,31.76751565,262,No,226.8927919,212.2356022,High_spent_Medium_value_payments,792.0256603,Good
5737,16727,8,Charlie Zhur,24,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8,Good,1377.74,27.81335364,263,No,226.8927919,212.2356022,High_spent_Large_value_payments,742.9221908,Standard
5742,47624,1,Jamesj,44,366681681,Journalist,31370.8,2825.233333,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2,Good,421.43,29.51935256,318,NM,46.61612907,22.29805714,High_spent_Small_value_payments,341.5544232,Good
5743,47624,2,Jamesj,44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",2,0,5.76,2,Good,421.43,28.22048096,318,No,46.61612907,22.29805714,Low_spent_Small_value_payments,227.1627349,Good
5744,47624,3,Jamesj,44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,1.76,5,Good,421.43,31.04641791,319,No,46.61612907,22.29805714,Low_spent_Medium_value_payments,375.0865083,Good
5745,47624,4,Jamesj,44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Good,421.43,30.1680304,320,No,46.61612907,22.29805714,Low_spent_Small_value_payments,292.3016778,Good
5746,47624,5,Jamesj,44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Good,421.43,25.18923173,321,No,46.61612907,22.29805714,Low_spent_Small_value_payments,341.2066326,Good
5747,47624,6,Jamesj,44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Good,421.43,25.50246855,322,No,46.61612907,22.29805714,Low_spent_Medium_value_payments,378.1897794,Good
5748,47624,7,Jamesj,45,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,2,5.76,5,Good,421.43,22.76220217,323,No,46.61612907,22.29805714,Low_spent_Small_value_payments,337.5123038,Good
5749,47624,8,Jamesj,45,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,2,5.76,5,Good,421.43,37.56505277,324,No,46.61612907,22.29805714,Low_spent_Small_value_payments,273.2623771,Good
5754,42603,1,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4,Standard,1328.93,37.08907565,230,NM,65.00817429,25.19256191,High_spent_Medium_value_payments,362.5457119,Standard
5755,42603,2,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4,Standard,1328.93,30.90808063,231,Yes,65.00817429,25.19256191,High_spent_Large_value_payments,399.7213311,Standard
5756,42603,3,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,38.03072168,232,Yes,65.00817429,25.19256191,Low_spent_Large_value_payments,229.6698268,Standard
5757,42603,4,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,22,11,8,Standard,1328.93,23.40441278,233,Yes,65.00817429,25.19256191,High_spent_Large_value_payments,444.6598471,Standard
5758,42603,5,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,8,8,Standard,1328.93,29.07375818,234,Yes,65.00817429,25.19256191,Low_spent_Small_value_payments,276.5227243,Standard
5759,42603,6,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,32.78263673,235,Yes,65.00817429,25.19256191,High_spent_Medium_value_payments,406.9923272,Standard
5760,42603,7,Saphirj,40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,35.58400505,236,Yes,65.00817429,25.19256191,Low_spent_Small_value_payments,444.4252395,Standard
5761,42603,8,Saphirj,41,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11,8,Standard,1328.93,31.13948358,237,Yes,65.00817429,25.19256191,High_spent_Large_value_payments,443.8827971,Standard
5766,49323,1,Soyoungd,32,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3,Good,950.36,28.21061721,305,No,135.173371,77.84134311,High_spent_Large_value_payments,732.5635317,Standard
5767,49323,2,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,41.03616828,306,NM,135.173371,77.84134311,High_spent_Large_value_payments,674.3205074,Good
5768,49323,3,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3,Good,950.36,34.67019438,307,No,135.173371,77.84134311,High_spent_Medium_value_payments,543.3063842,Standard
5769,49323,4,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,31.82853557,308,No,135.173371,77.84134311,Low_spent_Small_value_payments,86.63611983,Standard
5770,49323,5,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,34.70283693,309,No,135.173371,77.84134311,High_spent_Medium_value_payments,561.8766736,Good
5771,49323,6,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3,Good,950.36,38.32363895,310,No,135.173371,77.84134311,Low_spent_Small_value_payments,195.3690791,Good
5772,49323,7,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,25.9791728,311,No,135.173371,77.84134311,High_spent_Large_value_payments,667.4204738,Good
5773,49323,8,Soyoungd,33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,30.87079911,312,No,135.173371,77.84134311,High_spent_Large_value_payments,733.0533444,Good
5778,15941,1,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3,Standard,179.22,25.64924607,322,Yes,124.3920824,33.34956859,Low_spent_Large_value_payments,378.5404802,Standard
5779,15941,2,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10,4.54,3,Standard,179.22,29.40877528,323,Yes,124.3920824,33.34956859,High_spent_Medium_value_payments,459.5240535,Standard
5780,15941,3,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",15,11,5.54,3,Standard,179.22,31.25892847,324,NM,124.3920824,33.34956859,High_spent_Large_value_payments,558.926349,Standard
5781,15941,4,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,7,0.54,3,Standard,179.22,27.19258741,325,Yes,124.3920824,33.34956859,Low_spent_Small_value_payments,147.4336899,Standard
5782,15941,5,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,11.54,3,Standard,179.22,34.59532446,326,Yes,124.3920824,33.34956859,Low_spent_Small_value_payments,409.1574722,Standard
5783,15941,6,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3,Standard,179.22,23.1950254,327,Yes,124.3920824,33.34956859,Low_spent_Small_value_payments,7.129357074,Standard
5784,15941,7,Harriet McLeodd,36,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,35.11253199,328,Yes,124.3920824,33.34956859,Low_spent_Large_value_payments,464.1635141,Standard
5785,15941,8,Harriet McLeodd,36,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,32.87880507,329,Yes,124.3920824,33.34956859,Low_spent_Small_value_payments,147.1580197,Standard
5790,27750,1,Sinead Carews,39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6,Standard,2602.69,24.52316385,107,Yes,36.54819717,13.06620992,Low_spent_Large_value_payments,272.2984679,Poor
5791,27750,2,Sinead Carews,39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6,Standard,2602.69,39.9025176,108,Yes,36.54819717,13.06620992,Low_spent_Large_value_payments,250.6495139,Poor
